InstanceType,vCPUs,MemoryMiB,GPUs
a1.2xlarge,8,16384,0
a1.4xlarge,16,32768,0
a1.large,2,4096,0
a1.medium,1,2048,0
a1.metal,16,32768,0
a1.xlarge,4,8192,0
c1.medium,2,1740,0
c1.xlarge,8,7168,0
c3.2xlarge,8,15360,0
c3.4xlarge,16,30720,0
c3.8xlarge,32,61440,0
c3.large,2,3840,0
c3.xlarge,4,7680,0
c4.2xlarge,8,15360,0
c4.4xlarge,16,30720,0
c4.8xlarge,36,61440,0
c4.large,2,3840,0
c4.xlarge,4,7680,0
c5.12xlarge,48,98304,0
c5.18xlarge,72,147456,0
c5.24xlarge,96,196608,0
c5.2xlarge,8,16384,0
c5.4xlarge,16,32768,0
c5.9xlarge,36,73728,0
c5.large,2,4096,0
c5.metal,96,196608,0
c5.xlarge,4,8192,0
c5a.12xlarge,48,98304,0
c5a.16xlarge,64,131072,0
c5a.24xlarge,96,196608,0
c5a.2xlarge,8,16384,0
c5a.4xlarge,16,32768,0
c5a.8xlarge,32,65536,0
c5a.large,2,4096,0
c5a.xlarge,4,8192,0
c5ad.12xlarge,48,98304,0
c5ad.16xlarge,64,131072,0
c5ad.24xlarge,96,196608,0
c5ad.2xlarge,8,16384,0
c5ad.4xlarge,16,32768,0
c5ad.8xlarge,32,65536,0
c5ad.large,2,4096,0
c5ad.xlarge,4,8192,0
c5d.12xlarge,48,98304,0
c5d.18xlarge,72,147456,0
c5d.24xlarge,96,196608,0
c5d.2xlarge,8,16384,0
c5d.4xlarge,16,32768,0
c5d.9xlarge,36,73728,0
c5d.large,2,4096,0
c5d.metal,96,196608,0
c5d.xlarge,4,8192,0
c5n.18xlarge,72,196608,0
c5n.2xlarge,8,21504,0
c5n.4xlarge,16,43008,0
c5n.9xlarge,36,98304,0
c5n.large,2,5376,0
c5n.metal,72,196608,0
c5n.xlarge,4,10752,0
c6a.12xlarge,48,98304,0
c6a.16xlarge,64,131072,0
c6a.24xlarge,96,196608,0
c6a.2xlarge,8,16384,0
c6a.32xlarge,128,262144,0
c6a.48xlarge,192,393216,0
c6a.4xlarge,16,32768,0
c6a.8xlarge,32,65536,0
c6a.large,2,4096,0
c6a.metal,192,393216,0
c6a.xlarge,4,8192,0
c6g.12xlarge,48,98304,0
c6g.16xlarge,64,131072,0
c6g.2xlarge,8,16384,0
c6g.4xlarge,16,32768,0
c6g.8xlarge,32,65536,0
c6g.large,2,4096,0
c6g.medium,1,2048,0
c6g.metal,64,131072,0
c6g.xlarge,4,8192,0
c6gd.12xlarge,48,98304,0
c6gd.16xlarge,64,131072,0
c6gd.2xlarge,8,16384,0
c6gd.4xlarge,16,32768,0
c6gd.8xlarge,32,65536,0
c6gd.large,2,4096,0
c6gd.medium,1,2048,0
c6gd.metal,64,131072,0
c6gd.xlarge,4,8192,0
c6gn.12xlarge,48,98304,0
c6gn.16xlarge,64,131072,0
c6gn.2xlarge,8,16384,0
c6gn.4xlarge,16,32768,0
c6gn.8xlarge,32,65536,0
c6gn.large,2,4096,0
c6gn.medium,1,2048,0
c6gn.xlarge,4,8192,0
c6i.12xlarge,48,98304,0
c6i.16xlarge,64,131072,0
c6i.24xlarge,96,196608,0
c6i.2xlarge,8,16384,0
c6i.32xlarge,128,262144,0
c6i.4xlarge,16,32768,0
c6i.8xlarge,32,65536,0
c6i.large,2,4096,0
c6i.metal,128,262144,0
c6i.xlarge,4,8192,0
c6id.12xlarge,48,98304,0
c6id.16xlarge,64,131072,0
c6id.24xlarge,96,196608,0
c6id.2xlarge,8,16384,0
c6id.32xlarge,128,262144,0
c6id.4xlarge,16,32768,0
c6id.8xlarge,32,65536,0
c6id.large,2,4096,0
c6id.metal,128,262144,0
c6id.xlarge,4,8192,0
c6in.12xlarge,48,98304,0
c6in.16xlarge,64,131072,0
c6in.24xlarge,96,196608,0
c6in.2xlarge,8,16384,0
c6in.32xlarge,128,262144,0
c6in.4xlarge,16,32768,0
c6in.8xlarge,32,65536,0
c6in.large,2,4096,0
c6in.metal,128,262144,0
c6in.xlarge,4,8192,0
c7a.12xlarge,48,98304,0
c7a.16xlarge,64,131072,0
c7a.24xlarge,96,196608,0
c7a.2xlarge,8,16384,0
c7a.32xlarge,128,262144,0
c7a.48xlarge,192,393216,0
c7a.4xlarge,16,32768,0
c7a.8xlarge,32,65536,0
c7a.large,2,4096,0
c7a.medium,1,2048,0
c7a.metal-48xl,192,393216,0
c7a.xlarge,4,8192,0
c7g.12xlarge,48,98304,0
c7g.16xlarge,64,131072,0
c7g.2xlarge,8,16384,0
c7g.4xlarge,16,32768,0
c7g.8xlarge,32,65536,0
c7g.large,2,4096,0
c7g.medium,1,2048,0
c7g.metal,64,131072,0
c7g.xlarge,4,8192,0
c7gd.12xlarge,48,98304,0
c7gd.16xlarge,64,131072,0
c7gd.2xlarge,8,16384,0
c7gd.4xlarge,16,32768,0
c7gd.8xlarge,32,65536,0
c7gd.large,2,4096,0
c7gd.medium,1,2048,0
c7gd.metal,64,131072,0
c7gd.xlarge,4,8192,0
c7gn.12xlarge,48,98304,0
c7gn.16xlarge,64,131072,0
c7gn.2xlarge,8,16384,0
c7gn.4xlarge,16,32768,0
c7gn.8xlarge,32,65536,0
c7gn.large,2,4096,0
c7gn.medium,1,2048,0
c7gn.metal,64,131072,0
c7gn.xlarge,4,8192,0
c7i-flex.12xlarge,48,98304,0
c7i-flex.16xlarge,64,131072,0
c7i-flex.2xlarge,8,16384,0
c7i-flex.4xlarge,16,32768,0
c7i-flex.8xlarge,32,65536,0
c7i-flex.large,2,4096,0
c7i-flex.xlarge,4,8192,0
c7i.12xlarge,48,98304,0
c7i.16xlarge,64,131072,0
c7i.24xlarge,96,196608,0
c7i.2xlarge,8,16384,0
c7i.48xlarge,192,393216,0
c7i.4xlarge,16,32768,0
c7i.8xlarge,32,65536,0
c7i.large,2,4096,0
c7i.metal-24xl,96,196608,0
c7i.metal-48xl,192,393216,0
c7i.xlarge,4,8192,0
c8g.12xlarge,48,98304,0
c8g.16xlarge,64,131072,0
c8g.24xlarge,96,196608,0
c8g.2xlarge,8,16384,0
c8g.48xlarge,192,393216,0
c8g.4xlarge,16,32768,0
c8g.8xlarge,32,65536,0
c8g.large,2,4096,0
c8g.medium,1,2048,0
c8g.metal-24xl,96,196608,0
c8g.metal-48xl,192,393216,0
c8g.xlarge,4,8192,0
c8gd.12xlarge,48,98304,0
c8gd.16xlarge,64,131072,0
c8gd.24xlarge,96,196608,0
c8gd.2xlarge,8,16384,0
c8gd.48xlarge,192,393216,0
c8gd.4xlarge,16,32768,0
c8gd.8xlarge,32,65536,0
c8gd.large,2,4096,0
c8gd.medium,1,2048,0
c8gd.metal-24xl,96,196608,0
c8gd.metal-48xl,192,393216,0
c8gd.xlarge,4,8192,0
c8gn.12xlarge,48,98304,0
c8gn.16xlarge,64,131072,0
c8gn.24xlarge,96,196608,0
c8gn.2xlarge,8,16384,0
c8gn.48xlarge,192,393216,0
c8gn.4xlarge,16,32768,0
c8gn.8xlarge,32,65536,0
c8gn.large,2,4096,0
c8gn.medium,1,2048,0
c8gn.metal-24xl,96,196608,0
c8gn.metal-48xl,192,393216,0
c8gn.xlarge,4,8192,0
c8i-flex.12xlarge,48,98304,0
c8i-flex.16xlarge,64,131072,0
c8i-flex.2xlarge,8,16384,0
c8i-flex.4xlarge,16,32768,0
c8i-flex.8xlarge,32,65536,0
c8i-flex.large,2,4096,0
c8i-flex.xlarge,4,8192,0
c8i.12xlarge,48,98304,0
c8i.16xlarge,64,131072,0
c8i.24xlarge,96,196608,0
c8i.2xlarge,8,16384,0
c8i.32xlarge,128,262144,0
c8i.48xlarge,192,393216,0
c8i.4xlarge,16,32768,0
c8i.8xlarge,32,65536,0
c8i.96xlarge,384,786432,0
c8i.large,2,4096,0
c8i.metal-48xl,192,393216,0
c8i.metal-96xl,384,786432,0
c8i.xlarge,4,8192,0
d2.2xlarge,8,62464,0
d2.4xlarge,16,124928,0
d2.8xlarge,36,249856,0
d2.xlarge,4,31232,0
d3.2xlarge,8,65536,0
d3.4xlarge,16,131072,0
d3.8xlarge,32,262144,0
d3.xlarge,4,32768,0
d3en.12xlarge,48,196608,0
d3en.2xlarge,8,32768,0
d3en.4xlarge,16,65536,0
d3en.6xlarge,24,98304,0
d3en.8xlarge,32,131072,0
d3en.xlarge,4,16384,0
dl1.24xlarge,96,786432,8
dl2q.24xlarge,96,786432,0
f1.16xlarge,64,999424,0
f1.2xlarge,8,124928,0
f1.4xlarge,16,249856,0
f2.12xlarge,48,524288,0
f2.48xlarge,192,2097152,0
f2.6xlarge,24,262144,0
g4ad.16xlarge,64,262144,4
g4ad.2xlarge,8,32768,1
g4ad.4xlarge,16,65536,1
